"Language","original","english","french","russian","german","polish","portuguese","danish","czech","chinesesimp","spanish","fillipino","dutch","swedish",  
"HAB_TITLE","Heroes And Bandits","Heroes And Bandits","Héros et Bandits","Герои и бандиты","Helden und Banditen","Bohaterowie i Bandyci","Heróis e Bandidos","Helte og Banditer","Hrdinové a bandité","英雄与强盗","Héroes y Bandidos","Mga Bayani at Bandido","Helden en bandieten","Hjältar och banditer",      
"HAB_HUMANITY","Humanity","Humanity","Humanité","Репутация","Menschlichkeit","Humanitarność","Humanidade","Menneskelighed","Lidstvo","人性","Humanidad","Sangkatauhan","De Mensheid","Mänskligheten", 
"HAB_HUMANITY_CHANGEHEADING","Humanity Affected","Humanity Affected","Humanité Affectée","Изменение человечности", "Menschlichkeit betroffen","Wpłynięto na Humanitarność","Humanidade afetada","Menneskelig effekt","Zasažené Lidstvo","受人类影响","Humanidad Afectada","Apektadong Sangkatauhan","Menselijkheid getroffen","Mänskligheten påverkad", 
"HAB_HUMANITY_LEVELUP_HEADING","Level Changed","Level Changed","Niveau Modifié","Уровень изменился","Level geändert","Level zmieniony","Nível alterado","Level ændert","Úroveň změněna","级别已更改","Nivel Cambiado","Nag-iba ang level","level verandered","Swedish - level ändrad", 
"HAB_HUMANITY_LEVELUP_PRE","You are now ","You are now ","Vous êtes maintenant au ","Ваша репутация ", "Sie sind jetzt ","Jesteś teraz ","Agora você é ","Du er her nu ","Jsi te ","你现在","Ahora estás","Ikaw na ngayon","jij bent nu","Du är nu",    
"HAB_HUMANITY_WARNING","Warning","Warning","Warning","Предупреждение", "Warnung", "Uwaga","Atenção","Advarsel",Varování","警告", "Advertencia","Babala","Waarschuwing","Varning", 
"HAB_KILLFEED_HEADING", "Killfeed", "Killfeed", "Killfeed", "Киллфид", "Killfeed", "Killfeed","Killfeed","Killfeed","Killfeed","杀死饲料","Conteo de Kills","Pinatay","Doden - Dood geschoten","Döda - Dödat", 
"HAB_KILLFEED_PRE","A ","A ","Un ","", "Ein ","","um","En","","一","Un","Na","Een","En", 
"HAB_KILLFEED_KILLED","killed ","killed ","a tué ","Убит ", " getötet "," zabił ","morto","Dræbt","zabil","被杀","muerto","Na Patay","gedood","Dödade", 
"HAB_KILLFEED_WITH"," with "," with "," avec "," с помощью ", " mit ","z","com","Med","","与","con","Ng","Met","Med", 
"HAB_KILLFEED_AT"," at "," at "," à "," c "," auf ","z","em","Af","v","在","en","Sa","Bij","på", 
"HAB_KILLFEED_METERS"," meters"," meters"," mètres"," Метров"," Meter ","metrów","metros","Meter","metrů","米","metros","Metro",Meter","Meter", 
